dt,status,machine_name,count_jobs,objective_function,mip_gap,count_jobs_not_allocated,solve_time_seconds,termination_condition,count_machines
2025-11-30,93,coldboxgasado_coldboxpequena,34,0.36225880981620634,7.4e-05,0.0,143.547,optimal,1
2025-11-12,72,coldboxgasado_coldboxpequena,27,0.3667699115044248,0.0,0.0,61.341,optimal,1
2025-11-18,80,coldboxgasado_coldboxpequena,27,0.32107584935475375,5.1e-05,0.0,21.371,optimal,1
2026-01-11,10072,coldboxsoprado_sopradora,26,0.6059954718711489,8.4e-05,0.0,13.766,optimal,1
2025-11-13,74,pepset_chao,26,128475.22802101576,1e-06,9.0,12.416,optimal,2
2025-12-01,94,pepset_chao,25,0.33720206080507276,0.0,0.0,735.793,optimal,2
2025-12-02,95,pepset_chao,25,28126.51752826566,0.0,1.0,470.399,optimal,2
2025-11-12,73,coldboxgasado_coldboxpequena,24,0.3703021554084325,3.4e-05,0.0,27.513,optimal,1
2025-11-13,75,pepset_chao,24,118593.2049024816,1e-06,9.0,9.831,optimal,2
2026-02-02,10103,coldboxgasado_coldboxpequena,23,0.4778153846153846,8.6e-05,0.0,34.473,optimal,1
2025-11-02,56,coldboxgasado_coldboxpequena,23,0.28596923076923075,0.0,0.0,87.822,optimal,1
2025-11-04,58,coldboxgasado_coldboxpequena,22,0.3754595773908125,0.0,0.0,40.486,optimal,1
2026-02-01,10102,coldboxgasado_coldboxpequena,21,0.49437217766394825,9.6e-05,0.0,37.822,optimal,1
2025-11-05,59,coldboxgasado_coldboxpequena,20,0.32662326025924376,0.0,0.0,48.729,optimal,1
2025-11-26,89,coldboxgasado_coldboxpequena,20,0.5151424646078491,0.0,0.0,20.737,optimal,1
2025-11-27,90,pepset_chao,20,0.4761861396958383,0.0,0.0,397.441,optimal,2
2026-02-01,10102,pepset_chao,19,177.4594383194279,8.7e-05,0.0,118.698,optimal,2
2025-12-03,96,pepset_chao,19,15904.528169014084,1e-06,1.0,207.05,optimal,2
2025-11-05,60,coldboxgasado_coldboxpequena,19,0.33501006036217307,0.0,0.0,32.922,optimal,1
2025-11-13,74,coldboxgasado_coldboxpequena,19,0.40692101226993865,0.0,0.0,21.918,optimal,1
2025-11-13,75,coldboxgasado_coldboxpequena,19,0.40318251533742333,0.0,0.0,19.72,optimal,1
2026-01-15,10080,pepset_chao,19,0.5601035276073619,0.0,0.0,317.404,optimal,2
2026-02-02,10103,pepset_chao,18,83.45315510123845,9.8e-05,0.0,69.113,optimal,2
2025-12-14,107,coldboxgasado_coldboxpequena,18,0.07198741891094948,4.3e-05,0.0,6894.165,optimal,1
2025-11-16,78,coldboxgasado_coldbox4,18,0.41120503243562023,0.0,0.0,6.762,optimal,1
2025-11-19,82,coldboxgasado_coldboxpequena,18,0.25545895002322955,6.5e-05,0.0,11.441,optimal,1
2025-11-23,86,coldboxgasado_coldbox4,18,0.3471201100845292,0.0,0.0,9.647,optimal,1
2025-11-25,88,coldboxgasado_coldbox4,18,0.4644215100488865,0.0,0.0,6.86,optimal,1
2026-01-11,10072,coldboxgasado_coldboxpequena,17,0.5777204229456332,0.0,0.0,26.817,optimal,1
2026-01-15,10080,coldboxgasado_coldboxpequena,17,0.5462824083994,0.0,0.0,15.855,optimal,1
2025-12-15,108,coldboxsoprado_sopradora,17,0.05829498137190445,0.0,0.0,39.774,optimal,1
2026-02-02,10103,coldboxgasado_coldbox4,16,0.5053739661196869,1.1e-05,0.0,5.335,optimal,1
2025-11-17,79,coldboxgasado_coldbox4,16,0.44230173824583136,0.0,0.0,4.789,optimal,1
2025-11-18,80,coldboxgasado_coldbox4,16,0.3743680906616299,0.0,0.0,6.44,optimal,1
2025-11-24,87,coldboxgasado_coldbox4,16,0.3656066168340042,6e-05,0.0,6.294,optimal,1
2025-12-04,97,pepset_chao,15,16472.45701796989,3e-06,2.0,220.183,optimal,2
2025-11-02,56,pepset_vibrado,14,75268.52754271116,0.0,4.0,370.926,optimal,1
2025-12-07,100,coldboxgasado_coldbox4,14,0.4048425415761007,0.0,0.0,57.938,optimal,1
2025-12-08,101,coldboxgasado_coldbox4,14,0.31749481878380426,0.0,0.0,6.005,optimal,1
2025-12-11,104,pepset_chao,13,219.51372933594845,0.0,0.0,161.528,optimal,2
2025-11-11,69,coldboxgasado_coldbox4,12,0.43270868824531517,0.0,0.0,2.72,optimal,1
2025-11-11,70,coldboxgasado_coldbox4,12,0.43270868824531517,0.0,0.0,2.631,optimal,1
2025-11-19,82,coldboxgasado_coldbox4,12,0.3581881533101045,0.0,0.0,6.721,optimal,1
2025-11-23,86,pepset_vibrado,12,0.46389320086929525,0.0,0.0,49.173,optimal,1
2025-11-24,87,pepset_vibrado,12,23.45861533685191,0.0,0.0,30.163,optimal,1
2025-11-25,88,pepset_vibrado,12,984.5803620839592,1.7e-05,0.0,35.4,optimal,1
2025-11-26,89,coldboxgasado_coldbox4,12,0.5221503235440518,0.0,0.0,1.849,optimal,1
2025-11-10,68,pepset_vibrado,11,485.411163042742,3.1e-05,0.0,59.767,optimal,1
2026-01-11,10072,pepset_chao,11,0.6250000000000001,5.1e-05,0.0,59.378,optimal,2
2025-11-11,69,pepset_vibrado,11,1015.527899956878,0.0,0.0,40.168,optimal,1
2025-11-11,70,pepset_vibrado,11,1015.527899956878,0.0,0.0,39.832,optimal,1
2025-11-16,78,pepset_vibrado,11,0.3680823680823681,9.9e-05,0.0,12.837,optimal,1
2025-11-17,79,pepset_vibrado,11,0.35243514190882613,0.0,0.0,14.465,optimal,1
2025-11-18,80,pepset_vibrado,11,0.30625269512721004,0.0,0.0,24.088,optimal,1
2025-11-27,90,coldboxgasado_coldboxpequena,11,0.5389072847682119,0.0,0.0,5.462,optimal,1
2026-02-02,10103,pepset_vibrado,10,0.4405781983458759,0.0,0.0,9.329,optimal,1
2025-11-10,68,coldboxgasado_coldbox4,10,0.3787417734059868,4.7e-05,0.0,1.55,optimal,1
2025-11-11,71,coldboxgasado_coldbox4,10,0.4756910496844725,7.5e-05,0.0,1.243,optimal,1
2025-11-11,71,pepset_vibrado,10,524.479556019353,0.0,0.0,26.226,optimal,1
2025-11-04,58,pepset_vibrado,9,0.5259829240012649,0.0,0.0,4.298,optimal,1
2025-11-05,59,pepset_vibrado,9,0.5028281363306744,0.0,0.0,4.787,optimal,1
2025-11-05,60,pepset_vibrado,9,0.5028281363306744,0.0,0.0,4.791,optimal,1
2025-11-26,89,pepset_vibrado,9,353.5914430746918,3.2e-05,0.0,6.867,optimal,1
2025-11-02,56,coldboxgasado_coldbox4,8,0.6045112781954888,8.4e-05,0.0,1.201,optimal,1
2025-12-04,97,coldboxgasado_coldbox4,8,0.49374004097427726,0.0,0.0,0.982,optimal,1
2025-12-09,102,coldboxgasado_coldbox4,8,0.35618264637262526,7.8e-05,0.0,0.741,optimal,1
2025-11-12,72,pepset_vibrado,8,261.5446239190733,3.2e-05,0.0,5.496,optimal,1
2025-11-12,73,pepset_vibrado,7,98.48051463732985,0.0,0.0,6.191,optimal,1
2025-11-19,82,pepset_vibrado,7,0.4749207533097147,0.0,0.0,6.898,optimal,1
2026-02-01,10102,pepset_vibrado,6,0.24090401092760463,0.0,0.0,3.068,optimal,1
2026-02-01,10102,coldboxgasado_coldbox4,6,0.41089751149899756,0.0,0.0,1.189,optimal,1
2025-12-03,96,coldboxgasado_coldbox4,6,0.5602229743181366,0.0,0.0,0.256,optimal,1
2025-11-12,72,coldboxgasado_coldbox4,6,0.5638064901453315,0.0,0.0,0.267,optimal,1
2025-11-12,73,coldboxgasado_coldbox4,6,0.5602229743181366,0.0,0.0,0.238,optimal,1
2025-11-13,74,coldboxgasado_coldbox4,6,0.5189681335356601,0.0,0.0,0.279,optimal,1
2025-11-13,75,coldboxgasado_coldbox4,6,0.5189681335356601,0.0,0.0,0.29,optimal,1
2025-12-14,107,pepset_chao,6,0.1290246491331525,0.0,0.0,4.758,optimal,2
2025-12-15,108,coldboxgasado_coldboxpequena,6,0.05012383535794315,0.0,0.0,0.43,optimal,1
2025-12-07,100,pepset_vibrado,5,0.47206079570853826,0.0,0.0,0.98,optimal,1
2025-12-08,101,pepset_vibrado,5,0.34331694233348237,0.0,0.0,1.94,optimal,1
2025-12-09,102,pepset_vibrado,5,0.280022766078543,0.0,0.0,1.302,optimal,1
2025-12-15,108,pepset_chao,5,0.0479762241720917,0.0,0.0,0.34,optimal,2
2025-11-27,90,pepset_vibrado,5,0.5240485152655793,0.0,0.0,0.722,optimal,1
2025-12-01,94,pepset_vibrado,4,0.337120506612032,0.0,0.0,0.737,optimal,1
2025-12-04,97,pepset_vibrado,4,0.4474647151071615,0.0,0.0,0.83,optimal,1
2025-12-10,103,coldboxgasado_coldbox4,4,0.22514183338309945,0.0,0.0,0.271,optimal,1
2025-12-11,104,pepset_vibrado,4,277.55619445896497,0.0,0.0,0.535,optimal,1
2025-11-13,74,pepset_vibrado,4,0.4903293256664924,0.0,0.0,0.782,optimal,1
2025-11-13,75,pepset_vibrado,4,0.4239414532148458,0.0,0.0,0.496,optimal,1
2025-11-30,93,pepset_vibrado,4,0.3017321661389458,0.0,0.0,0.921,optimal,1
